date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:24	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20Mar%202018%2011:09:24%20GMT	http://www.toptal.com/resume/eduardo-agustin-rapetti	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/www.toptal.com/resume/eduardo-agustin-rapetti.0.delayed	(from )
16:09:27	62509/62509	---MCZ	200	added ('OK')	text/html	etag:W/%22926da57032da05bc25ab854acabe8a89%22	https://www.toptal.com/resume/eduardo-agustin-rapetti	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/www.toptal.com/resume/eduardo-agustin-rapetti.html	(from )
16:09:28	637/637	---M--	200	added ('OK')	text/plain	etag:%225a9fae09-27d%22	https://www.toptal.com/robots.txt		(from )
16:09:29	14643/14643	---M--	200	added ('OK')	image/jpeg	etag:%22920ff7eec279a3ec639b13067e8b7c61%22	https://uploads.toptal.io/user/photo/359/large_eduardo_agustin_rapetti.jpg	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/uploads.toptal.io/user/photo/359/large_eduardo_agustin_rapetti.jpg	(from https://www.toptal.com/resume/eduardo-agustin-rapetti)
16:09:30	1471/1471	---M--	200	added ('OK')	image/png	etag:%225a3d132d-5bf%22	https://assets.toptal.io/assets/front/static/favicons/favicon_ca7136.png	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/assets.toptal.io/assets/front/static/favicons/favicon_ca7136.png	(from https://www.toptal.com/resume/eduardo-agustin-rapetti)
16:09:30	1153/1153	---M--	200	added ('OK')	image/png	etag:%225a3d132d-481%22	https://assets.toptal.io/assets/front/static/favicons/touch_x57_f72647.png	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/assets.toptal.io/assets/front/static/favicons/touch_x57_f72647.png	(from https://www.toptal.com/resume/eduardo-agustin-rapetti)
16:09:31	1316/1316	---M--	200	added ('OK')	image/png	etag:%225a3d132d-524%22	https://assets.toptal.io/assets/front/static/favicons/touch_x72_516451.png	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/assets.toptal.io/assets/front/static/favicons/touch_x72_516451.png	(from https://www.toptal.com/resume/eduardo-agustin-rapetti)
16:09:31	1715/1715	---M--	200	added ('OK')	image/png	etag:%225a3d132d-6b3%22	https://assets.toptal.io/assets/front/static/favicons/touch_x114_1798a8.png	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/assets.toptal.io/assets/front/static/favicons/touch_x114_1798a8.png	(from https://www.toptal.com/resume/eduardo-agustin-rapetti)
16:09:32	98204/98204	---MCZ	200	added ('OK')	application/javascript	etag:W/%225aa231b4-17f9c%22	https://assets.toptal.io/assets/jquery_and_modernizr-13a4e14b6617e4a1110b.js	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/assets.toptal.io/assets/jquery_and_modernizr-13a4e14b6617e4a1110b.js	(from https://www.toptal.com/resume/eduardo-agustin-rapetti)
16:09:32	908/908	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jan%202018%2012:29:30%20GMT	https://appinfo.toptal.com/script.js	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/appinfo.toptal.com/script.js	(from https://www.toptal.com/resume/eduardo-agustin-rapetti)
16:09:34	822/822	---M--	200	added ('OK')	image/png	etag:%225a3d132d-336%22	https://assets.toptal.io/assets/front/static/public/primitives/social/share_bar/twitter_83c6d4.png	F:/Abrar%20New%20CV/Toptal%20Resume%20Fetch/assets.toptal.io/assets/front/static/public/primitives/social/share_bar/twitter_83c6d4.png	(from https://www.toptal.com/resume/eduardo-agustin-rapetti)
